,Title,Price (DKK),Year,KM driven,Motor (Litres),Manual/Automatic gear,Horsepower,Car Manufacturer
19,Audi A3 Sportback TFSi 122 Ambiente,147900,2014,168000,1.4,Manuelt gear,122,Audi
20,Mercedes A200 AMG Line,379900,2022,17000,1.3,Automatgear,163,Mercedes
21,Mercedes GLC300 AMG Line aut. 4Matic,499900,2018,90000,2.0,Automatgear,245,Mercedes
22,Mercedes GLC43 AMG AMG aut. 4Matic,899900,2020,21000,3.0,Automatgear,390,Mercedes
23,Mercedes C200 AMG Line stc,539900,2022,28000,1.5,Automatgear,204,Mercedes
24,Mercedes A200 AMG Line,349900,2021,42000,1.3,Automatgear,163,Mercedes
25,"Ford Ecosport 1,0 EcoBoost Titanium 125HK 5d",149500,2019,84000,1.0,Manuelt gear,125,Ford
26,"Skoda Octavia 249.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",239900,2020,53000,1.5,Automatgear,150,Skoda
27,"Nissan Qashqai 229.900 kr. 1,6 Dig-T Tekna+ 163HK 5d 6g",219900,2018,94000,1.6,Automatgear,163,Nissan
28,"Kia ceed 169.900 kr. 1,0 T-GDI Active 100HK 5d 6g",167500,2020,59000,1.0,Manuelt gear,100,Kia
29,"Renault Captur 124.900 kr. 1,2 TCE Expression Navi Style EDC 120HK 5d 6g A",119900,2015,118000,1.2,Automatgear,120,Renault
30,"Opel Corsa 109.900 kr. 1,4 ECOTEC Impress 90HK 5d",99900,2019,81000,1.4,Manuelt gear,90,Opel
32,"Toyota Aygo 99.900 kr. 1,0 VVT-I X-Press 72HK 5d",97500,2020,49000,1.0,Manuelt gear,72,Toyota
33,"Mercedes B180 159.900 kr. 1,6 Progressive 122HK 6g",154900,2015,124000,1.6,Manuelt gear,122,Mercedes
34,"Opel Insignia 184.900 kr. Grand Sport 1,5 Turbo Dynamic Start/Stop 165HK 5d 6g",169900,2018,117000,1.5,Manuelt gear,165,Opel
35,"VW T-Roc 249.900 kr. 1,0 TSI Style 115HK 5d 6g",234900,2020,46000,1.0,Manuelt gear,115,VW
36,"Fiat 500 0,9 TwinAir 80 Lounge",94900,2018,89000,0.9,Manuelt gear,80,Fiat
37,Mazda 2 15 Skyactiv-G Niseko 90HK 5d,104180,2018,69000,1.5,Manuelt gear,90,Mazda
38,"Citroën C1 1,2 PureTech Feel+ 82HK 5d",64500,2017,67300,1.2,Manuelt gear,82,Citroën
39,"Mazda MX5 2,0 Skyactiv-G Seiza 184HK Cabr. 6g",314500,2021,12600,2.0,Manuelt gear,184,Mazda
40,"Skoda Karoq 339.900 kr. 1,5 TSI ACT Ambition DSG 150HK 5d 7g A",329900,2021,20000,1.5,Automatgear,150,Skoda
41,"Skoda Karoq 339.900 kr. 1,5 TSI ACT Ambition DSG 150HK 5d 7g A",314900,2021,52000,1.5,Automatgear,150,Skoda
42,"Skoda Karoq 319.900 kr. 1,5 TSI ACT Ambition DSG 150HK 5d 7g A",309900,2020,30000,1.5,Automatgear,150,Skoda
43,Suzuki SX4 S-Cross 14 Boosterjet Active 140HK 5d 6g,214900,2021,17000,1.4,Manuelt gear,140,Suzuki
44,"VW T-Cross - 1,0 TSi 110 Life",249900,2022,17000,1.0,Manuelt gear,110,VW
45,Audi A4 40 TFSi Advanced Prestige Tour+ Avant S-tr,339900,2019,69000,2.0,Automatgear,190,Audi
46,"Mercedes A200 1,3 AMG Line aut. 4d",299900,2019,49000,1.3,Automatgear,163,Mercedes
47,"Skoda Octavia 249.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",239900,2020,45000,1.5,Automatgear,150,Skoda
48,"Seat Leon 234.900 kr. 1,5 TSI ACT Style Start/Stop DSG 150HK 5d 7g A",224900,2019,42000,1.5,Automatgear,150,Seat
49,"VW Polo 199.900 kr. 1,0 TSI Comfortline Plus DSG 95HK 5d 7g A",197500,2020,49000,1.0,Automatgear,95,VW
50,"VW Passat 349.900 kr. Variant 1,5 TSI EVO ACT Elegance Plus DSG 150HK Stc 7g A",339900,2020,55000,1.5,Automatgear,150,VW
51,"Skoda Octavia 244.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",239900,2020,48000,1.5,Automatgear,150,Skoda
52,"VW Polo 219.900 kr. 1,0 TSI Highline DSG 115HK 5d 7g A",214900,2020,45000,1.0,Automatgear,115,VW
53,"Toyota RAV4 2,0 T3 Comfort 175HK 5d 6g B",389900,2022,25000,2.0,Manuelt gear,175,Toyota
54,"Toyota Yaris 1,5 VVT-I T2 Limited 111HK 5d 6g A+",159900,2020,25824,1.5,Automatgear,111,Toyota
55,"Opel Grandland X 1,2 Direct Injection Turbo Enjoy Start/Stop 130HK 5d 6g A",189500,2018,106000,1.2,Automatgear,130,Opel
56,"VW Polo 219.900 kr. 1,0 TSI Highline DSG 115HK 5d 7g A",214900,2020,47000,1.0,Automatgear,115,VW
57,Renault Captur 09 Energy TCe Expression 90HK 5d,117900,2017,60000,0.9,Manuelt gear,90,Renault
58,"Nissan Note 1,4 Tekn",39900,2011,110000,1.4,Manuelt gear,88,Nissan
59,BMW 320 i 20 Executive Steptronic 184HK 8g A,274900,2018,48000,2.0,Automatgear,184,BMW
60,"VW Golf VII 1,4 TSI Plugin-hybrid GTE DSG 204HK 5d 6g A",224500,2018,65000,1.4,Automatgear,204,VW
62,Seat Arona 10 TSI FR Start/Stop 115HK 5d 6g,154900,2018,103700,1.0,Manuelt gear,115,Seat
63,"VW Passat Variant 1,5 TSI EVO ACT Business Plus Pro DSG 150HK Stc 7g A",329900,2020,38000,1.5,Automatgear,150,VW
64,"Skoda Kamiq 1,0 TSi 110 Blackline DSG",284900,2023,1000,1.0,Automatgear,110,Skoda
65,"VW Touran 329.900 kr. 1,5 TSI EVO ACT Comfortline DSG 150HK 7g A",324900,2020,60000,1.5,Automatgear,150,VW
66,"Audi A4 319.900 kr. Avant 2,0 TFSI Mild hybrid Sport Prestige Tour S Tronic 190HK Stc 7g A",309900,2019,99000,2.0,Automatgear,190,Audi
67,"Seat Leon 249.900 kr. Sportstourer 1,5 TSI FR DSG 150HK Stc 7g A",244900,2020,39000,1.5,Automatgear,150,Seat
68,"Seat Leon 224.900 kr. Sportstourer 1,5 TSI Style DSG 150HK Stc 7g A",217500,2020,56000,1.5,Automatgear,150,Seat
69,"Skoda Octavia 249.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",239900,2020,52000,1.5,Automatgear,150,Skoda
70,VW Golf VII,249900,2020,51000,1.5,Automatgear,150,VW
71,"Audi Q2 289.900 kr. 1,5 TFSI Sport Prestige Plus S Tronic 150HK 5d 7g A",279900,2020,33000,1.5,Automatgear,150,Audi
72,"Skoda Kamiq 279.900 kr. 1,0 TSI Style DSG 110HK 5d 7g A",269900,2021,29000,1.0,Automatgear,110,Skoda
73,"VW Touran 289.900 kr. 1,5 TSI EVO ACT Comfortline 150HK 6g",289900,2019,63000,1.5,Automatgear,150,VW
74,"VW Touran 339.900 kr. 1,5 TSI EVO ACT Comfortline DSG 150HK 7g A",324900,2020,50000,1.5,Automatgear,150,VW
75,"Skoda Octavia 274.900 kr. Combi 1,5 TSI ACT Celebration Plus DSG 150HK Stc 7g A",259900,2020,36000,1.5,Automatgear,150,Skoda
76,"VW Touran 299.900 kr. 1,5 TSI EVO ACT Comfortline 150HK 6g",294900,2020,56000,1.5,Manuelt gear,150,VW
77,"Skoda Octavia 249.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",239900,2020,55000,1.5,Automatgear,150,Skoda
78,"Seat Leon 224.900 kr. 1,5 TSI Style DSG 150HK 5d 7g A",216900,2020,75000,1.5,Automatgear,150,Seat
79,"Skoda Kamiq 229.900 kr. 1,0 TSI Style 115HK 5d 6g",224900,2020,49000,1.0,Manuelt gear,115,Skoda
80,"VW Passat 329.900 kr. Variant 1,5 TSI EVO ACT Business Plus Pro DSG 150HK Stc 7g A",324900,2020,67000,1.5,Automatgear,150,VW
81,VW Golf VII,259900,2019,33000,1.5,Automatgear,150,VW
82,"VW Polo 209.900 kr. 1,0 TSI Highline DSG 115HK 5d 7g A",199900,2020,71000,1.0,Automatgear,115,VW
83,"VW Touran 299.900 kr. 1,5 TSI EVO ACT Comfortline 150HK 6g",294900,2019,85000,1.5,Automatgear,150,VW
84,"VW Touran 329.900 kr. 1,5 TSI EVO ACT Comfortline DSG 150HK 7g A",324900,2020,63000,1.5,Automatgear,150,VW
85,"VW T-Roc 309.900 kr. 1,5 TSI ACT Style Team DSG 150HK 5d 7g A",299900,2021,56000,1.5,Automatgear,150,VW
86,"Seat Arona 199.900 kr. 1,0 TSI Xcellence Start/Stop 115HK 5d 6g",189900,2020,45000,1.0,Automatgear,115,Seat
87,"Seat Ibiza 159.900 kr. 1,0 TSI Xcellence 115HK 5d",152900,2019,53000,1.0,Manuelt gear,115,Seat
88,"Kia ceed 199.900 kr. SW 1,0 T-GDI Vision 120HK Stc 6g",194900,2020,21000,1.0,Manuelt gear,120,Kia
89,"VW Touran 339.900 kr. 1,5 TSI EVO ACT Comfortline Family DSG 150HK 7g A",324900,2020,53000,1.5,Automatgear,150,VW
90,"VW Passat 324.900 kr. Variant 1,5 TSI EVO ACT Business Plus Pro DSG 150HK Stc 7g A",319900,2020,65000,1.5,Automatgear,150,VW
91,"VW T-Cross - 259.900 kr. 1,0 TSI Life Plus DSG 115HK 5d 7g A",239900,2020,64000,1.0,Automatgear,115,VW
92,"Skoda Octavia 219.900 kr. 1,5 TSI ACT Style DSG 150HK 5d 7g A",214900,2020,127000,1.5,Automatgear,150,Skoda
93,"VW Touran 334.900 kr. 1,5 TSI EVO ACT Comfortline Family DSG 150HK 7g A",324900,2020,57000,1.5,Automatgear,150,VW
94,"Kia ceed 204.900 kr. SW 1,0 T-GDI Active 100HK Stc 6g",199900,2021,22000,1.0,Manuelt gear,100,Kia
95,"Skoda Octavia 254.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",244900,2020,30000,1.5,Automatgear,150,Skoda
96,"Skoda Octavia 1,4 TSi 140 Elegance",69900,2014,237000,1.4,Manuelt gear,140,Skoda
97,"Peugeot 208 1,2 e-THP 110 Active EAT6",149900,2018,85000,1.2,Automatgear,110,Peugeot
98,"VW up! Up! 1,0 60 Move",42000,2013,185000,1.0,Manuelt gear,60,VW
99,VW Golf VII,229900,2020,51000,1.5,Manuelt gear,150,VW
100,"Seat Leon 259.900 kr. Sportstourer 1,5 TSI FR DSG 150HK Stc 7g A",249900,2020,29000,1.5,Automatgear,150,Seat
101,VW Golf VII,259900,2020,32000,1.5,Automatgear,150,VW
102,"VW T-Cross - 279.900 kr. 1,5 TSI EVO ACT Life Team DSG 150HK 5d 7g A",264900,2020,42000,1.5,Automatgear,150,VW
103,"VW Passat 329.900 kr. Variant 1,5 TSI EVO ACT Business Plus DSG 150HK Stc 7g A",324900,2020,45000,1.5,Automatgear,150,VW
104,VW Golf VII,244900,2020,78000,1.5,Automatgear,150,VW
105,"Seat Ateca 319.900 kr. 1,5 TSI ACT Style Start/Stop DSG 150HK 5d 7g A",306900,2020,38000,1.5,Automatgear,150,Seat
106,"VW Passat 344.900 kr. Variant 1,5 TSI EVO ACT Business Plus DSG 150HK Stc 7g A",329900,2020,36000,1.5,Automatgear,150,VW
107,VW Golf VII,209900,2019,159000,1.5,Automatgear,150,VW
108,"Skoda Superb 309.900 kr. Combi 1,5 TSI ACT Style DSG 150HK Stc 7g A",294900,2020,119000,1.5,Automatgear,150,Skoda
109,VW Golf VII,236900,2020,49000,1.5,Manuelt gear,150,VW
110,VW Golf VII,254900,2020,56000,1.5,Automatgear,150,VW
111,"Seat Leon 259.900 kr. Sportstourer 1,5 TSI Xcellence DSG 150HK Stc 7g A",254900,2020,50000,1.5,Automatgear,150,Seat
112,"VW Polo 219.900 kr. 1,0 TSI Comfortline Plus DSG 95HK 5d 7g A",199900,2020,30000,1.0,Automatgear,95,VW
113,"Seat Leon 254.900 kr. Sportstourer 1,5 TSI Xcellence DSG 150HK Stc 7g A",244900,2020,57000,1.5,Automatgear,150,Seat
114,"VW Passat 299.900 kr. 2,0 TSI Business Plus DSG 190HK 7g A",319900,2020,67000,2.0,Automatgear,190,VW
115,"Opel Crossland X 154.900 kr. 1,2 Edition+ 83HK 5d",152500,2020,24000,1.2,Manuelt gear,83,Opel
116,"Seat Leon Leon239.900 kr. Sportstourer 1,5 TSI Style DSG 150HK Stc 7g A",219900,2020,39000,1.5,Automatgear,150,Seat
117,"Seat Leon 239.900 kr. Sportstourer 1,5 TSI Xcellence DSG 150HK Stc 7g A",234900,2020,76000,1.5,Automatgear,150,Seat
118,"Skoda Octavia 244.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",237500,2020,60000,1.5,Automatgear,150,Skoda
119,"Skoda Octavia 249.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",239900,2020,42000,1.5,Automatgear,150,Skoda
120,"Peugeot 5008 389.900 kr. 1,6 PureTech Allure EAT8 180HK 5d 8g A",374900,2020,73000,1.6,Automatgear,180,Peugeot
121,"Audi Q2 Q2314.900 kr. 1,5 TFSI Sport Prestige Plus S Tronic 150HK 5d 7g A",294900,2020,35000,1.5,Automatgear,150,Audi
122,"Seat Leon 249.900 kr. Sportstourer 1,5 TSI Xcellence DSG 150HK Stc 7g A",244900,2020,56000,1.5,Automatgear,150,Seat
123,"Opel Crossland X 149.900 kr. 1,2 Edition+ 83HK 5d",147500,2020,37000,1.2,Manuelt gear,83,Opel
124,"Seat Arona 189.900 kr. 1,0 TSI Style Start/Stop 95HK 5d",174900,2020,13000,1.0,Manuelt gear,95,Seat
125,"Seat Leon 209.900 kr. 1,0 TSI Reference 90HK Stc",199900,2020,41000,1.0,Manuelt gear,90,Seat
126,"Seat Leon 249.900 kr. Sportstourer 1,5 TSI Xcellence DSG 150HK Stc 7g A",244900,2020,38000,1.5,Automatgear,150,Seat
127,"Seat Leon 229.900 kr. Sportstourer 1,5 TSI Style DSG 150HK Stc 7g A",224900,2020,55000,1.5,Automatgear,150,Seat
128,"Audi Q2 289.900 kr. 1,5 TFSI Sport S Tronic 150HK 5d 7g A",279900,2019,41000,1.5,Automatgear,150,Audi
129,Ford Focus 10 EcoBoost Titanium 125HK Stc 6g,104900,2016,112600,1.0,Manuelt gear,125,Ford
130,"VW Touran 334.900 kr. 1,5 TSI EVO ACT Comfortline Family DSG 150HK 7g A",324900,2020,63000,1.5,Automatgear,150,VW
131,"Opel Astra Astra199.900 kr. Sports Tourer 1,2 Turbo Edition 110HK Stc",184900,2020,38000,1.2,Manuelt gear,110,Opel
132,VW Golf VII,259900,2020,47000,1.5,Automatgear,150,VW
133,"VW Passat 249.900 kr. Variant 1,5 TSI EVO ACT Highline Premium DSG 150HK Stc 7g A",244900,2019,160000,1.5,Automatgear,150,VW
134,"Skoda Octavia Octavia219.900 kr. Combi 1,0 TSI Ambition 115HK Stc 6g",207500,2020,79000,1.0,Manuelt gear,115,Skoda
135,"Seat Leon 249.900 kr. Sportstourer 1,5 TSI FR DSG 150HK Stc 7g A",239900,2020,65000,1.5,Automatgear,150,Seat
136,"VW Passat Passat359.900 kr. Variant 1,5 TSI EVO ACT Business Plus Pro DSG 150HK Stc 7g A",319900,2020,57000,1.5,Automatgear,150,VW
137,"Opel Crossland X Crossland X154.900 kr. 1,2 Excite 83HK 5d",137500,2019,45000,1.2,Manuelt gear,83,Opel
138,"Skoda Octavia 239.900 kr. Combi 1,5 TSI ACT Ambition DSG 150HK Stc 7g A",239900,2020,61000,1.5,Automatgear,150,Skoda
139,"VW Touran Touran339.990 kr. 1,5 TSI EVO ACT Comfortline DSG 150HK 7g A",324900,2020,52000,1.5,Automatgear,150,VW
140,"VW Touran Touran339.900 kr. 1,5 TSI EVO ACT Comfortline DSG 150HK 7g A",324900,2020,55000,1.5,Automatgear,150,VW
141,VW Golf VII,254900,2019,25000,1.5,Automatgear,150,VW
142,"Seat Leon 219.900 kr. 1,5 TSI Style DSG 150HK 5d 7g A",209900,2019,48000,1.5,Automatgear,150,Seat
143,"Audi Q2 Q2309.900 kr. 1,5 TFSI Sport Prestige Plus S Tronic 150HK 5d 7g A",289900,2020,42000,1.5,Automatgear,150,Audi
144,"Audi Q2 Q2319.900 kr. 1,5 TFSI Sport Prestige Plus S Tronic 150HK 5d 7g A",294900,2020,39000,1.5,Automatgear,150,Audi
145,"Seat Leon 244.900 kr. Sportstourer 1,5 TSI Xcellence DSG 150HK Stc 7g A",234900,2020,69000,1.5,Automatgear,150,Seat
146,"Skoda Octavia Octavia219.900 kr. Combi 1,0 TSI Ambition 115HK Stc 6g",194900,2019,64000,1.0,Automatgear,115,Skoda
147,"VW Touran Touran359.900 kr. 3.807 kr./md. 1,5 TSI EVO ACT Comfortline Family DSG 150HK 7g A",324900,2020,53000,1.5,Automatgear,150,VW
148,"Opel Crossland X Crossland X179.900 kr. 1.820 kr./md. 1,2 Excite 83HK 5d",147500,2020,40000,1.2,Manuelt gear,83,Opel
149,"Kia ceed 1,4 T-GDI Vision 140HK 5d 6g",199900,2020,10000,1.4,Manuelt gear,140,Kia
150,"VW T-Roc 1,5 TSI ACT Style DSG 150HK 5d 7g A",239900,2019,114000,1.5,Automatgear,150,VW
151,"VW T-Roc 1,5 TSI ACT Style DSG 150HK 5d 7g A",279900,2019,49000,1.5,Automatgear,150,VW
152,"Seat Leon Sportstourer 1,5 TSI Style 150HK Stc 6g",189900,2019,69000,1.5,Manuelt gear,150,Seat
153,"VW Polo Polo174.900 kr. 1.730 kr./md. 1,0 TSI Comfortline 95HK 5d",159900,2019,65000,1.0,Manuelt gear,95,VW
154,"Skoda Octavia 249.900 kr. Combi 1,5 TSI ACT Ambition Dynamic DSG 150HK Stc 7g A",249900,2020,24000,1.5,Automatgear,150,Skoda
155,"VW Touran 309.900 kr. 1,5 TSI EVO ACT Comfortline 150HK 6g",309900,2020,39000,1.5,Manuelt gear,150,VW
156,Mazda 6 20 Skyactiv-G Vision 165HK 6g,134900,2014,114000,2.0,Manuelt gear,165,Mazda
157,"Peugeot 2008 1,2 e-VTi 82 Allure ESG",84900,2014,123000,1.2,Automatgear,82,Peugeot
158,"Toyota Yaris 1,0 VVT-I T1 72HK 5d A+",119900,2021,55400,1.0,Manuelt gear,72,Toyota
159,"Toyota Yaris 1,0 VVT-I T1 72HK 5d A+",124900,2021,43200,1.0,Manuelt gear,72,Toyota
160,"Seat Leon 249.900 kr. Sportstourer 1,5 TSI Xcellence DSG 150HK Stc 7g A",249900,2020,37000,1.5,Automatgear,150,Seat
161,VW Golf VIII,219900,2019,77600,1.5,Automatgear,130,VW
163,"VW Passat 299.900 kr. 1,5 TSI EVO ACT Business Plus DSG 150HK 7g A",299900,2020,50000,1.5,Automatgear,150,VW
164,"VW T-Roc 319.900 kr. 1,5 TSI ACT Style Team DSG 150HK 5d 7g A",319900,2021,18000,1.5,Automatgear,150,VW
165,"VW Passat 1,5 TSi 150 Elegance+ Variant DSG",299900,2020,119500,1.5,Automatgear,150,VW
166,"VW Polo 1,0 TSi 110 Highline DSG",229900,2021,15800,1.0,Automatgear,110,VW
167,Skoda Octavia Combi 20 TSI Style DSG 190HK Stc 7g A,229900,2019,87000,2.0,Automatgear,190,Skoda
168,"VW Polo 1,0 TSi 110 Highline DSG",219900,2021,33000,1.0,Automatgear,110,VW
169,"Hyundai i30 199.900 kr. Cw 1,4 T-GDI Premium DCT 140HK Stc 7g A",199900,2019,101000,1.4,Automatgear,140,Hyundai
170,"Seat Arona 199.900 kr. 1,0 TSI Xcellence Start/Stop 115HK 5d 6g",189900,2020,51000,1.0,Automatgear,115,Seat
171,"VW Touran 334.900 kr. 1,5 TSI EVO ACT Comfortline Family DSG 150HK 7g A",334900,2020,38000,1.5,Automatgear,150,VW
172,"Skoda Karoq 369.900 kr. 1,5 TSI ACT Style DSG 150HK 5d 7g A",364900,2021,22000,1.5,Automatgear,150,Skoda
173,VW Golf VII,249900,2020,56000,1.5,Automatgear,150,VW
174,"Skoda Octavia 224.900 kr. 1,5 TSI ACT Style DSG 150HK 5d 7g A",219900,2019,79000,1.5,Automatgear,150,Skoda
175,"VW Passat 329.900 kr. Variant 1,5 TSI EVO ACT Business Plus Pro DSG 150HK Stc 7g A",329900,2020,52000,1.5,Automatgear,150,VW
176,"VW Polo Polo174.900 kr. 1.730 kr./md. 1,0 TSI Comfortline 95HK 5d",159900,2019,65000,1.0,Manuelt gear,95,VW
177,"Skoda Scala 219.900 kr. 1,0 TSI Ambition DSG 115HK 5d 7g A",209900,2020,48000,1.0,Automatgear,115,Skoda
178,Opel Astra 0 Turbo Enjoy Start/Stop 105HK 5d,144900,2019,68000,1.0,Manuelt gear,105,Opel
179,"Seat Leon 254.900 kr. Sportstourer 1,5 TSI FR DSG 150HK Stc 7g A",254900,2020,44000,1.5,Automatgear,150,Seat
180,"VW Polo 2,0 GTi DSG",254900,2020,58000,2.0,Automatgear,200,VW
181,"Audi Q2 249.900 kr. 1,0 TFSI Sport Prestige Plus 116HK 5d 6g",244900,2020,46000,1.0,Manuelt gear,116,Audi
182,"Skoda Kamiq 1,0 TSi 110 Ambition",229900,2022,13000,1.0,Manuelt gear,110,Skoda
183,"Skoda Karoq 249.900 kr. 1,0 TSI Ambition 115HK 5d 6g",249900,2019,45000,1.0,Automatgear,115,Skoda
184,"Peugeot 308 1,2 PureTech Style 130HK 5d 6g",184900,2020,29500,1.2,Manuelt gear,130,Peugeot
185,"Seat Leon 224.900 kr. Sportstourer 1,5 TSI Style DSG 150HK Stc 7g A",224900,2019,57000,1.5,Automatgear,150,Seat
186,"Audi A4 A4339.900 kr. Avant 2,0 40 TFSI Mild hybrid Sport S Tronic 190HK Stc 7g A",329900,2019,58000,2.0,Automatgear,190,Audi
187,"Seat Ibiza 1,0 TSi 115 FR",174900,2020,71000,1.0,Manuelt gear,115,Seat
188,"BMW Z3 1,8 Roadster",99900,1996,204000,1.8,Manuelt gear,115,BMW
189,"Hyundai i20 Active Cross 1,0 T-GDi Life+",99900,2016,86000,1.0,Manuelt gear,100,Hyundai
190,Opel Astra 0 T 105 Enjoy,149900,2016,60000,1.0,Automatgear,105,Opel
191,"VW Polo Polo184.900 kr. 1,0 TSI Connect 95HK 5d",179900,2019,45000,1.0,Automatgear,95,VW
192,Renault Arkana 13 TCE Intens EDC 140HK 5d 7g A,299990,2022,9700,1.3,Automatgear,140,Renault
193,"Skoda Octavia 1,4 TSi iV Plus DSG",329900,2022,24000,1.4,Automatgear,204,Skoda
194,"Seat Leon Leon239.900 kr. Sportstourer 1,5 TSI Style DSG 150HK Stc 7g A",219900,2020,45000,1.5,Automatgear,150,Seat
195,Mazda CX-5 20 Skyactiv-G Sense 165HK 5d 6g A,349900,2022,4000,2.0,Automatgear,165,Mazda
196,"Mazda CX-5 2,0 Skyactiv-G Sense 165HK 5d 6g A",344500,2022,5800,2.0,Automatgear,165,Mazda
197,"Skoda Superb 1,4 TSi iV Sportline Combi DSG",339800,2020,92000,1.4,Automatgear,218,Skoda
198,"Skoda Superb 1,4 TSi iV Sportline Combi DSG",379800,2021,42000,1.4,Automatgear,218,Skoda
199,"Peugeot 2008 1,2 PureTech 130 Allure Tour",219900,2020,36000,1.2,Manuelt gear,130,Peugeot
200,"Peugeot 208 1,2 VTi 82 Strike",109900,2018,33000,1.2,Manuelt gear,82,Peugeot
201,Skoda Scala 1.0 TSI 110 DSG | Dreivers,222500,2021,13150,1.0,Automatgear,110,Skoda
202,Ford Mondeo 1.5 EcoBoost (160 HK) Stationcar Forhjulstræk Manuel | Usado,155000,2015,96000,1.5,Manuelt gear,160,Ford
203,Skoda Citigo 1.0 MPI 60 5-Dørs | Usado,85900,2018,53000,1.0,Manuelt gear,60,Skoda
204,Toyota Aygo 1.0 VVT-i | Usado,79900,2019,95000,1.0,Manuelt gear,72,Toyota
205,Skoda Kodiaq 1.4 TSI 150 DSG6 | Style model,359900,2018,67000,1.4,Automatgear,150,Skoda
206,"Ford Fiesta 1.0 EcoBoost (100 HK) Hatchback, 5 dørs Forhjulstræk Manuel | Usado",125000,2018,62000,1.0,Manuelt gear,100,Ford
207,Opel Astra 0 Turbo 105HK 5-dørs | Usado,115000,2017,77000,1.0,Manuelt gear,105,Opel
208,Skoda Superb PRE,277900,2020,58500,1.5,Manuelt gear,150,Skoda
209,"Skoda Octavia 1,5 TSi 150 Style Combi DSG",224900,2020,104000,1.5,Automatgear,150,Skoda
210,"VW T-Roc 1,5 TSi 150 Style DSG",289900,2020,55000,1.5,Automatgear,150,VW
211,"VW T-Roc 1,5 TSi 150 Life DSG",329990,2022,13500,1.5,Automatgear,150,VW
212,"Kia Picanto 1,2 MPi GT-Line",114500,2017,37000,1.2,Manuelt gear,84,Kia
213,"Mini Cooper 1,6",50000,2004,163000,1.6,Automatgear,115,Mini
214,"Ford C-MAX 1,5 SCTi 150 Titanium",109900,2016,204000,1.5,Manuelt gear,150,Ford
215,"VW T-Roc 1,5 TSi 150 Style DSG",319900,2022,18100,1.5,Automatgear,150,VW
216,"BMW 220 i 2,0 Coupé M-Spor",289900,2017,62000,2.0,Automatgear,184,BMW
217,"VW T-Roc 1,5 TSi 150 Life DSG",329900,2022,15000,1.5,Automatgear,150,VW
218,Renault Kadjar FEH,179900,2018,72000,1.2,Automatgear,130,Renault
219,"Mercedes CLA200 Shooting Brake 1,6",214900,2016,95000,1.6,Manuelt gear,156,Mercedes
220,"VW Passat 2,0 TSi 190 Elegance+ DSG",349900,2020,19000,2.0,Automatgear,190,VW
221,Ford Focus 15,202900,2020,55000,1.0,Manuelt gear,125,Ford
